0011C310|ard:ard/eh18.ard+ 31024 
00168B38|ard:Kh2Bar.NumFiles
00168B88|ard:Kh2Bar.NumFiles
00168BA4|ard:FileEntry.Type
00168BB4|ard:FileEntry.Name, ard:Kh2Bar.Files
00168BFC|ard:Kh2Bar.Padding
00168C0C|ard:Kh2Bar.NumFiles
00168C20|ard:FileEntry.Size
00168C28|ard:Kh2Bar.Padding
00168C30|ard:Kh2Bar.NumFiles
00168C5C|ard:FileEntry.Offset
00168C60|ard:FileEntry.Duplicate
00168C74|ard:FileEntry.Type
0016BF4C|ard:Entity.TalkMessage
0016BF6C|ard:Entity.Unk20, ard:Entity.AiParameter
0016BF80|8 usages. |ard:ard/eh18.ard+ 2309 |ard:ard/eh18.ard+ 2077 |ard:ard/eh18.ard+ 2193 |ard:ard/eh18.ard+ 4313 |ard:ard/eh18.ard+ 4965 |ard:ard/eh18.ard+ 5945 |ard:ard/eh18.ard+ 6653 |ard:ard/eh18.ard+ 7257 
0016C938|ard:ard/eh18.ard+ 53976 
0016C960|ard:ard/eh18.ard+ 53980 
0016C98C|ard:ard/eh18.ard+ 53972 
00181BD0|ard:FileEntry.Offset
00181CC0|ard:SpawnProgram.Id
00181CE8|ard:SpawnProgram.Length
00181D10|ard:SpawnProgram.Id, ard:Kh2Bar.Files
00181D6C|ard:SpawnProgram.ByteCode
00181DB4|ard:SpawnProgram.ByteCode
00181DE0|ard:SpawnProgram.ByteCode
00181DF0|ard:Kh2Bar.Files, ard:SpawnProgram.ByteCode
00181E00|ard:SpawnProgram.ByteCode
00181E2C|ard:SpawnProgram.ByteCode
00181E34|ard:SpawnProgram.ByteCode
00181F84|ard:Kh2Bar.Files
00181F90|ard:SpawnProgram.ByteCode
00181FAC|ard:FileEntry.Offset
00181FF4|ard:SpawnProgram.ByteCode
0018200C|ard:SpawnProgram.ByteCode
00182220|ard:SpawnProgram.ByteCode
00182230|ard:SpawnProgram.ByteCode
0018223C|ard:SpawnProgram.ByteCode
00182298|ard:SpawnProgram.ByteCode
0018229C|ard:SpawnProgram.ByteCode
001822A8|ard:SpawnProgram.ByteCode
001822C4|ard:SpawnProgram.ByteCode
001822EC|ard:SpawnProgram.ByteCode
001822F4|ard:SpawnProgram.ByteCode
00182308|ard:SpawnProgram.ByteCode
00182338|ard:SpawnProgram.ByteCode
001823A8|ard:SpawnProgram.ByteCode
001824EC|ard:FileEntry.Offset
00182594|ard:FileEntry.Offset
001829E4|ard:Kh2SpawnPoint.ItemCount
00182A38|ard:SpawnPoint.Unk0cCount
00182A3C|ard:Kh2SpawnPoint.ItemCount
0018AD70|ard:SpawnPoint.Unk0aCount
0018AD90|ard:Unknown0a.Unk00
0018ADA4|ard:Unknown0a.Unk01
0018ADD8|ard:Entity.AiParameter
0018AE74|ard:Entity.Unk1c
001997CC|ard:Entity.ObjectId
00199824|ard:Entity.ObjectId
0019983C|ard:Entity.Unk1c
