001050D0|fm:EffectsTab4Vtx4.Vert2
00198180|fm:FileEntry.Offset
001DC024|fm:Kh2Dpx.DpxEntries
001DC030|fm:DpxEntry.Id
001DC03C|fm:DpxEntry.DpdOffset
001DC048|fm:DpxEntry.Index
001DC108|fm:a.fm+ 532 
001DDDF4|fm:Kh2Pax.OffsetDpx
001DDE08|fm:PaxEntry.Unk04
001DDF20|fm:PaxEntry.Unk10
001DDF30|fm:PaxEntry.Unk14
001DDF4C|fm:PaxEntry.Effect
001DDF60|fm:PaxEntry.PosX
001DDF70|fm:PaxEntry.PosZ
001DDF80|fm:PaxEntry.PosY
001DDF90|fm:PaxEntry.RotX
001DDFA0|fm:PaxEntry.RotZ
001DDFB0|fm:PaxEntry.RotY
001DDFC0|fm:PaxEntry.ScaleX
001DDFD0|fm:PaxEntry.ScaleZ
001DDFE0|fm:PaxEntry.ScaleY
001DE024|fm:PaxEntry.Unk10
001DE040|fm:PaxEntry.Unk10
001DE17C|fm:Kh2Pax.EntriesCount
001DE18C|fm:PaxEntry.Caster
001DEAB8|fm:PaxEntry.Unk10
001DEAD4|fm:PaxEntry.Unk10
001DEAE4|fm:PaxEntry.Unk10
001DF21C|fm:PaxEntry.Unk10
001DF268|fm:PaxEntry.PosX
001DF270|fm:PaxEntry.PosZ
001DF278|fm:PaxEntry.PosY
001DF280|fm:PaxEntry.RotX
001DF288|fm:PaxEntry.RotZ
001DF290|fm:PaxEntry.RotY
001DF298|fm:PaxEntry.ScaleX
001DF2A0|fm:PaxEntry.ScaleZ
001DF2A8|fm:PaxEntry.ScaleY
001DF2B0|fm:PaxEntry.Unk10
001DF730|fm:PaxEntry.Unk06
001DFA60|fm:PaxEntry.Unk10
001DFAE8|fm:PaxEntry.SoundEffect
001DFB78|fm:PaxEntry.Unk10
001DFBDC|fm:PaxEntry.Unk10
001DFC8C|fm:PaxEntry.Unk10
001E2CD4|fm:EffectsTab4.Unk14
001E2CD8|6 usages. |fm:a.fm+ 39842 |fm:a.fm+ 41122 |fm:a.fm+ 43410 |fm:a.fm+ 44434 |fm:a.fm+ 46722 |fm:a.fm+ 46898 
001E2CFC|6 usages. |fm:a.fm+ 39842 |fm:a.fm+ 41122 |fm:a.fm+ 43410 |fm:a.fm+ 44434 |fm:a.fm+ 46722 |fm:a.fm+ 46898 
001E2D18|fm:EffectsTab4.Unk04
001E2D2C|6 usages. |fm:a.fm+ 39889 |fm:a.fm+ 41169 |fm:a.fm+ 43457 |fm:a.fm+ 44481 |fm:a.fm+ 46769 |fm:a.fm+ 46945 
001E2D98|fm:EffectsTab4VertSet.NumVerts
001E2DA4|fm:EffectsTab4VertSet.Unk38
001E2DBC|fm:EffectsTab4VertSet.Unk38
001E2DC8|fm:EffectsTab4VertSet.Unk3c
001E2E14|fm:EffectsTab4VertSet.Unk38
001E2E70|fm:EffectsTab4VertSet.Unk38
001E2EC8|fm:EffectsTab4VertSet.Unk3c
001E2EDC|fm:EffectsTab4VertSet.NumVerts
001E2F24|fm:EffectsTab4VertSet.Unk3c
001E2F74|fm:EffectsTab4VertSet.NumVerts
001E2F88|8 usages. |fm:a.fm+ 40705 |fm:a.fm+ 41825 |fm:a.fm+ 42609 |fm:a.fm+ 44113 |fm:a.fm+ 45137 |fm:a.fm+ 45921 |fm:a.fm+ 46825 |fm:a.fm+ 48561 
001E3088|fm:a.fm+ 38290 
001E30AC|fm:a.fm+ 38290 
001E30C8|fm:EffectsTab3.Unk04
001E30D8|fm:EffectsTab3Sub.Cnt2
001E30E4|fm:EffectsTab3A.Offset
001E30F0|fm:EffectsTab3C.Unk0
001E3108|fm:EffectsTab3C.Unk0
001E3120|fm:EffectsTab3C.Unk4
001E3160|fm:EffectsTab3C.Unk0
001E3218|fm:EffectsTab3C.Unk4
001E3668|5 usages. |fm:Kh2Dpd.NumTextures|fm:Kh2Dpd.NumTab3|fm:Kh2Dpd.NumTab4|fm:Kh2Dpd.NumTab5|fm:Kh2Dpd.NumEffectsGroupList
001E36C0|fm:Kh2Dpd.NumEffectsGroupList
001E36D8|fm:EffectsGroupParent.Offset
001E36FC|fm:a.fm+ 752 
001E3744|fm:a.fm+ 756 
001E3748|fm:a.fm+ 760 
001E3798|fm:a.fm+ 764 
001E3940|fm:Kh2Dpd.NumTab3
001E394C|fm:EffectsTab3Parent.Offset
001E3A10|fm:EffectsGroup.Dummy1
001E3AD0|fm:Kh2Dpd.NumTab4
