統	観	触	揺	標	到	拐	超	測	弾	富	留	易	文	献	採	漂	語	造	稼	改
能	比	較	区	訪	往	混	沌	底	原	墓	普	絵	額	又	暇	縮	呪	掛	慮	＃
癒	階	鐘	描	秋	冬	夏	泊	東	展	戸	舷	浮	毒	氷	幻	胃	腸	誕	椅	館
廊	堂	斎	玉	械	砲	聖	針	春	冬	南	山	川	谷	渓	崖	岸	t	棺	門	月
丘	吊	拷	倉	蔵	浜	江	淵	溝	庭	園	峡	潮	段	柱	基	h	汝	楼	拝	草
竹	沼	層	虚	噴	交	花	輝	護	巧	師	首	術	飾	神	箱	輪	腕	手	防	御
撃	攻	小	定	認	法	技	巨	樹	効	系	運	半	字	鉱	三	型	耐	速	設	低
共	g	側	阻	両	級	殻	圧	亜	劣	胴	脚	独	射	偉	勘	頂	戴	忍	素	b
＆	則	四	掲	板	登	孫	締	憐	鮮	歪	叫	推	旧	臨	奈	摩	y	細	肉	因
財	疲	婆	省	寒	沢	商	却	派	盛	泥	棄	?	代	晩	枯	期	譲	晴	卑	越
縁	権	極	磨	替	宣	歓	績	繰	栄	淑	幾	杯	紳	候	壁	杭	補	懲	酬	勤
怯	余	労	匂	罰	糸	辛	棟	課	荷	頑	恥	酷	随	醜	詞	償	棒	隣	励	倍
充	＃	雰	涙	脅	泣	泥	党	洪	⑬	討	伐	皇	帝	殺	編	窮	恨	腰	飯	貨
港	軍	号	血	掟	浴	範	謹	寄	豪	詰	慢	損	史	略	抱	遭	慈	際	誉	縄
銘	肝	並	殴	利	誇	謁	憩	祖	官	都	司	駆	柄	挑	偽	吉	堤	建	銅	車
贈	唯	資	預	委	埋	督	謀	穏	筋	適	迫	殊	絆	狼	割	砦	徐	煙	肖	慌
訓	芝	桟	灰	障	砕	幼	製	鋭	骨	馬	拾	掘	温	微	歯	将	兄	駅	忌	坊
慕	執	寝	酒	管	華	Ⅵ	Ⅸ	狂	網	雲	征	総	衆	冶	雇	髪	燭	鉄	監	団
継	肩	電	給	評	営	依	職	憧	麗	症	衣	眼	揮	鋼	瞳	匠	貫	克	歴	養
織	礎	讐	演	衛	狩	減	波	丁	積	環	銃	警	龍	峠	脈	宅	創	社	論	枢
否	列	包	奮	七	噂	坂	貼	逮	幕	帯	銀	援	悩	凄	昨	妬	捧	怠	裕	十
